agent_white,agent_black,average_time_whites,chess_pieces_whites,average_time_blacks,chess_pieces_blacs,result
1,4,0.0003681791589615193,7,1.3245142875833715,6,Ganan blancas
1,4,0.00040254592895507815,4,1.4526911193674261,3,Ganan blancas
1,4,0.00043044052022026187,16,1.610721909426113,3,Ganan blancas
1,4,0.00042496911256598087,3,1.697882021338934,7,Ganan blancas
2,3,1.710667619096025,2,0.000423777471029811,6,Ganan blancas
2,3,1.6668919039863064,1,0.0004175576747331203,7,Ganan blancas
2,3,1.6143413430393332,1,0.0004055821069396368,7,Ganan blancas
2,3,1.548516930808384,2,0.00039247230247214986,7,Ganan negras
2,3,1.4062833728142154,8,0.00036303138116642426,4,Ganan blancas
