simulations_number_whites,exploration_factor_whites,simulations_number_blacks,exploration_factor_blacks,average_time_whites,chess_pieces_whites,average_time_blacks,chess_pieces_blacks,result
100,1,100,0,0.9509261679649353,8,0.9509261679649353,3,Ganan blancas
100,1,100,0,1.0170340509865228,3,1.0170340509865228,6,Ganan blancas
100,1,100,0,1.0891011545833307,1,1.0891011545833307,6,Ganan negras
100,1,100,0,1.0424612068360852,3,1.0424612068360852,0,Ganan negras
100,1,100,0,1.0675581204778388,7,1.0675581204778388,3,Ganan blancas
100,1,100,0.5,1.1176471192512154,5,1.1176471192512154,3,Ganan blancas
100,1,100,0.5,1.1028743496395292,7,1.1028743496395292,2,Ganan blancas
100,1,100,0.5,1.053867859840393,4,1.053867859840393,4,Ganan blancas
100,1,100,0.5,0.9783241378787096,2,0.9783241378787096,2,Ganan blancas
100,1,100,0.5,0.9468443120307053,3,0.9468443120307053,4,Ganan blancas
100,1,200,0.7071067811865475,0.9457163203674759,8,0.9457163203674759,5,Ganan blancas
100,1,200,0.7071067811865475,0.9217683660622799,7,0.9217683660622799,3,Ganan blancas
100,1,200,0.7071067811865475,0.8864553831558145,4,0.8864553831558145,2,Ganan blancas
100,1,200,0.7071067811865475,0.8872260613296354,0.0,0.8872260613296354,7,Ganan negras
100,1,200,0.7071067811865475,0.8851685861951297,3,0.8851685861951297,5,Ganan negras
100,0,100,1,0.8638116695864639,9,0.8638116695864639,6,Ganan blancas
100,0,100,1,0.8485066891819322,5,0.8485066891819322,5,Ganan blancas
100,0,100,1,0.8364570718407103,3,0.8364570718407103,6,Ganan blancas
100,0,100,1,0.8050946571025611,2,0.8050946571025611,1,Ganan blancas
100,0,100,1,0.7965654541643784,5,0.7965654541643784,5,Ganan blancas
100,0,100,0.5,0.7868054621007912,5,0.7868054621007912,5,Ganan blancas
100,0,100,0.5,0.7847142009677461,2,0.7847142009677461,8,Ganan negras
100,0,100,0.5,0.7816865138087512,2,0.7816865138087512,5,Ganan blancas
100,0,100,0.5,0.7728514897213862,4,0.7728514897213862,4,Ganan blancas
100,0,100,0.5,0.7658885720300525,2,0.7658885720300525,3,Ganan blancas
100,0,200,0.7071067811865475,0.7673397914308017,1,0.7673397914308017,4,Ganan negras
100,0,200,0.7071067811865475,0.7668025145056652,5,0.7668025145056652,3,Ganan blancas
100,0,200,0.7071067811865475,0.7702381295675504,1,0.7702381295675504,7,Ganan blancas
100,0,200,0.7071067811865475,0.7692749242000305,4,0.7692749242000305,3,Ganan blancas
100,0,200,0.7071067811865475,0.7706898752981635,8,0.7706898752981635,7,Ganan blancas
100,0.5,100,1,0.7489235597808345,13,0.7489235597808345,1,Ganan blancas
100,0.5,100,1,0.74764165621558,2,0.74764165621558,8,Ganan blancas
100,0.5,100,1,0.7422525693458129,2,0.7422525693458129,1,Ganan blancas
100,0.5,100,1,0.7333942901345092,7,0.7333942901345092,4,Ganan blancas
100,0.5,100,1,0.7139456457882534,9,0.7139456457882534,3,Ganan blancas
100,0.5,100,0,0.6984389348463579,8,0.6984389348463579,2,Ganan blancas
100,0.5,100,0,0.6956012666127053,3,0.6956012666127053,4,Ganan negras
100,0.5,100,0,0.6842971669152701,7,0.6842971669152701,2,Ganan blancas
100,0.5,100,0,0.6703985219596914,5,0.6703985219596914,2,Ganan blancas
100,0.5,100,0,0.6682505097689471,4,0.6682505097689471,4,Ganan blancas
100,0.5,200,0.7071067811865475,0.6693533835062956,3,0.6693533835062956,7,Ganan negras
100,0.5,200,0.7071067811865475,0.6665047263302125,2,0.6665047263302125,3,Ganan blancas
100,0.5,200,0.7071067811865475,0.6682347011249264,6,0.6682347011249264,4,Ganan blancas
100,0.5,200,0.7071067811865475,0.6693175928996706,9,0.6693175928996706,4,Ganan blancas
100,0.5,200,0.7071067811865475,0.6704935125569469,1,0.6704935125569469,6,Ganan negras
200,0.7071067811865475,100,1,0.6624106809504807,18,0.6624106809504807,1,Ganan blancas
200,0.7071067811865475,100,1,0.6638178683764178,9,0.6638178683764178,6,Ganan blancas
200,0.7071067811865475,100,1,0.6653423225677552,7,0.6653423225677552,4,Ganan blancas
200,0.7071067811865475,100,1,0.6633951284538135,5,0.6633951284538135,1,Ganan blancas
200,0.7071067811865475,100,1,0.6655246121288181,10,0.6655246121288181,3,Ganan blancas
200,0.7071067811865475,100,0,0.6689501280958188,2,0.6689501280958188,3,Ganan negras
200,0.7071067811865475,100,0,0.6729878926825581,5,0.6729878926825581,8,Ganan blancas
200,0.7071067811865475,100,0,0.6731981060102753,8,0.6731981060102753,4,Ganan blancas
200,0.7071067811865475,100,0,0.6757031026928704,3,0.6757031026928704,6,Ganan blancas
200,0.7071067811865475,100,0,0.6771569469410886,7,0.6771569469410886,2,Ganan negras
200,0.7071067811865475,100,0.5,0.6787724481765516,1,0.6787724481765516,6,Ganan blancas
200,0.7071067811865475,100,0.5,0.6794166000482863,2,0.6794166000482863,3,Ganan blancas
200,0.7071067811865475,100,0.5,0.6808456121392592,7,0.6808456121392592,5,Ganan blancas
200,0.7071067811865475,100,0.5,0.6797167717238647,2,0.6797167717238647,3,Ganan blancas
200,0.7071067811865475,100,0.5,0.6803631244471354,5,0.6803631244471354,2,Ganan negras
