simulations_number_whites,exploration_factor_whites,simulations_number_blacks,exploration_factor_blacks,average_time_whites,chess_pieces_whites,average_time_blacks,chess_pieces_blacks,result
100,1,100,0,0.33407029015677314,4,0.33407029015677314,4,Ganan negras
100,1,100,0,0.3879240699112415,4,0.3879240699112415,0.0,Ganan negras
100,1,100,0,0.40033301302030977,2,0.40033301302030977,0.0,Ganan blancas
100,1,100,0,0.3822376025866156,5,0.3822376025866156,0.0,Ganan blancas
100,1,100,0,0.3866627482563331,6,0.3866627482563331,0.0,Ganan blancas
100,1,100,0.5,0.38795532363939383,4,0.38795532363939383,4,Ganan blancas
100,1,100,0.5,0.3939048598874823,3,0.3939048598874823,0.0,Ganan blancas
100,1,100,0.5,0.4006736649908831,3,0.4006736649908831,0.0,Ganan blancas
100,1,100,0.5,0.4088823899749882,1,0.4088823899749882,0.0,Ganan blancas
100,1,100,0.5,0.4169402779252441,6,0.4169402779252441,0.0,Ganan blancas
100,1,200,0.7071067811865475,0.4461914013172018,5,0.4461914013172018,4,Ganan blancas
100,1,200,0.7071067811865475,0.4816643324486701,6,0.4816643324486701,0.0,Ganan blancas
100,1,200,0.7071067811865475,0.498962229676098,5,0.498962229676098,0.0,Ganan blancas
100,1,200,0.7071067811865475,0.5110948377726029,3,0.5110948377726029,0.0,Ganan negras
100,1,200,0.7071067811865475,0.5249089180406267,2,0.5249089180406267,0.0,Ganan blancas
100,0,100,1,0.5178149767063608,9,0.5178149767063608,9,Ganan blancas
100,0,100,1,0.5118844161572507,8,0.5118844161572507,0.0,Ganan negras
100,0,100,1,0.515162613498957,3,0.515162613498957,0.0,Ganan blancas
100,0,100,1,0.5076004916162633,5,0.5076004916162633,0.0,Ganan blancas
100,0,100,1,0.5055460428442329,1,0.5055460428442329,0.0,Ganan blancas
100,0,100,0.5,0.4999474613121272,5,0.4999474613121272,9,Ganan blancas
100,0,100,0.5,0.5014202193006863,2,0.5014202193006863,0.0,Ganan blancas
100,0,100,0.5,0.4997724466751569,6,0.4997724466751569,0.0,Ganan blancas
100,0,100,0.5,0.5010195534542091,4,0.5010195534542091,0.0,Ganan blancas
100,0,100,0.5,0.5025121250450018,2,0.5025121250450018,0.0,Ganan blancas
100,0,200,0.7071067811865475,0.5075401459627955,3,0.5075401459627955,9,Ganan negras
100,0,200,0.7071067811865475,0.5160076119022076,8,0.5160076119022076,0.0,Ganan blancas
100,0,200,0.7071067811865475,0.5226145235195444,6,0.5226145235195444,0.0,Ganan blancas
100,0,200,0.7071067811865475,0.5299915835128693,1,0.5299915835128693,0.0,Ganan negras
100,0,200,0.7071067811865475,0.5377593356651134,4,0.5377593356651134,0.0,Ganan blancas
100,0.5,100,1,0.5367170522439657,12,0.5367170522439657,12,Ganan blancas
100,0.5,100,1,0.5333925524555303,4,0.5333925524555303,0.0,Ganan blancas
100,0.5,100,1,0.5311294146620047,5,0.5311294146620047,0.0,Ganan blancas
100,0.5,100,1,0.5317729457663842,3,0.5317729457663842,0.0,Ganan negras
100,0.5,100,1,0.5301303292586848,3,0.5301303292586848,0.0,Ganan blancas
100,0.5,100,0,0.531334466454368,4,0.531334466454368,12,Ganan blancas
100,0.5,100,0,0.5303550575904301,5,0.5303550575904301,0.0,Ganan blancas
100,0.5,100,0,0.5307850258014286,4,0.5307850258014286,0.0,Ganan negras
100,0.5,100,0,0.5314244996082481,2,0.5314244996082481,0.0,Ganan blancas
100,0.5,100,0,0.5293240344800356,5,0.5293240344800356,0.0,Ganan blancas
100,0.5,200,0.7071067811865475,0.5316460578584336,3,0.5316460578584336,12,Ganan blancas
100,0.5,200,0.7071067811865475,0.532448754194612,0.0,0.532448754194612,0.0,Ganan negras
100,0.5,200,0.7071067811865475,0.5358519425983712,3,0.5358519425983712,0.0,Ganan blancas
100,0.5,200,0.7071067811865475,0.5418176326543737,5,0.5418176326543737,0.0,Ganan blancas
100,0.5,200,0.7071067811865475,0.5449508001876395,3,0.5449508001876395,0.0,Ganan blancas
200,0.7071067811865475,100,1,0.5478205929111525,17,0.5478205929111525,17,Ganan blancas
200,0.7071067811865475,100,1,0.5502993904373208,5,0.5502993904373208,0.0,Ganan blancas
200,0.7071067811865475,100,1,0.5528114475316928,4,0.5528114475316928,0.0,Ganan blancas
200,0.7071067811865475,100,1,0.5597857775098105,11,0.5597857775098105,0.0,Ganan blancas
200,0.7071067811865475,100,0,0.563469168151558,4,0.563469168151558,17,Ganan blancas
200,0.7071067811865475,100,0,0.5641555866453275,3,0.5641555866453275,0.0,Ganan blancas
200,0.7071067811865475,100,0,0.566208047356539,14,0.566208047356539,0.0,Ganan blancas
200,0.7071067811865475,100,0,0.56741198983913,2,0.56741198983913,0.0,Ganan blancas
200,0.7071067811865475,100,0.5,0.5694383267960108,5,0.5694383267960108,17,Ganan blancas
200,0.7071067811865475,100,0.5,0.5694568692428632,6,0.5694568692428632,0.0,Ganan blancas
200,0.7071067811865475,100,0.5,0.5697782093316814,5,0.5697782093316814,0.0,Ganan blancas
200,0.7071067811865475,100,0.5,0.5668661956021782,2,0.5668661956021782,0.0,Ganan negras
200,0.7071067811865475,100,0.5,0.5667417232398859,6,0.5667417232398859,0.0,Ganan blancas
